Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
1,7,34,7-Apr,630.04,611.34,590.71
1,7,34,7-Apr,628.93,561.56,624.15
1,7,34,7-Apr,638.93,570.81,551.45
1,7,35,7-May,595.25,574.45,579.00
1,7,35,7-May,611.04,575.41,588.61
1,7,35,7-May,622.24,581.92,580.22
1,7,35,7-May,597.50,595.49,634.33
1,8,36,8-Jan,636.52,583.92,648.54
1,8,36,8-Jan,606.62,595.88,589.08
1,8,36,8-Jan,642.44,576.64,594.54
1,8,36,8-Jan,609.81,572.22,599.04
1,8,37,8-Feb,636.13,584.38,629.91
1,8,37,8-Feb,602.65,582.92,568.22
1,8,37,8-Feb,582.14,577.98,603.32
1,8,37,8-Feb,643.32,569.81,667.58
1,8,38,8-Mar,576.54,597.52,631.27
1,8,38,8-Mar,625.12,576.16,648.68
1,8,38,8-Mar,640.15,551.01,608.06
1,8,38,8-Mar,614.00,603.13,575.75
1,8,39,8-Apr,610.75,559.99,586.56
1,8,39,8-Apr,624.29,585.49,603.91
1,8,39,8-Apr,582.60,577.39,618.00
1,8,39,8-Apr,588.46,581.78,593.13
1,8,40,8-May,608.13,589.93,620.47
1,8,40,8-May,604.56,578.55,652.08
1,8,40,8-May,600.25,596.91,658.10
1,8,40,8-May,604.26,599.82,648.82
1,9,41,9-Jan,615.03,562.33,587.46
1,9,41,9-Jan,614.87,567.03,571.33
1,9,41,9-Jan,603.24,571.21,653.73
1,9,41,9-Jan,632.25,569.67,626.52
1,9,42,9-Feb,617.28,596.42,581.19
1,9,42,9-Feb,635.55,583.15,572.78
1,9,42,9-Feb,591.29,581.44,616.45
1,9,42,9-Feb,597.17,618.40,677.84
1,9,43,9-Mar,625.54,551.27,658.43
1,9,43,9-Mar,623.27,589.22,608.02
1,9,43,9-Mar,651.35,558.02,591.38
1,9,43,9-Mar,602.53,562.06,657.36
1,9,44,9-Apr,645.23,574.90,630.33
1,9,44,9-Apr,610.50,570.59,577.61
1,9,44,9-Apr,614.27,564.37,615.15
1,9,44,9-Apr,610.59,602.61,610.80
