Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
2,30,146,30-Jan,611.78,567.11,606.30
2,30,147,30-2,613.06,579.98,573.81
2,30,147,30-2,603.47,572.27,578.83
2,30,147,30-2,607.52,593.79,589.14
2,30,147,30-2,622.51,594.98,665.21
2,30,148,30-Mar,629.64,586.51,574.34
2,30,148,30-Mar,618.58,598.43,587.49
2,30,148,30-Mar,627.89,602.74,628.58
2,30,148,30-Mar,589.93,566.16,653.21
2,30,149,30-Apr,617.01,579.12,671.77
2,30,149,30-Apr,602.07,581.93,635.42
2,30,149,30-Apr,596.00,626.03,657.39
2,30,149,30-Apr,609.71,599.40,602.59
2,30,150,30-May,573.68,582.96,606.39
2,30,150,30-May,629.49,605.77,580.15
2,30,150,30-May,622.69,581.14,573.62
2,30,150,30-May,602.40,568.98,558.04
2,31,151,31-Jan,615.92,582.00,582.04
2,31,151,31-Jan,630.97,575.38,549.96
2,31,151,31-Jan,628.30,568.47,638.79
2,31,151,31-Jan,599.11,614.01,599.70
2,31,152,31-2,607.61,577.09,641.22
2,31,152,31-2,627.94,574.88,639.08
2,31,152,31-2,598.55,600.53,598.52
2,31,152,31-2,590.10,566.06,618.03
2,31,153,31-Mar,632.13,565.58,628.59
2,31,153,31-Mar,630.85,571.62,670.23
2,31,153,31-Mar,610.47,584.90,591.53
2,31,153,31-Mar,631.06,553.82,614.39
2,31,154,31-4,600.65,600.56,585.07
2,31,154,31-4,587.40,589.48,585.11
2,31,154,31-4,597.74,582.84,623.24
2,31,154,31-4,631.02,579.33,571.24
2,31,155,31-May,619.96,580.39,592.41
2,31,155,31-May,589.03,589.05,524.29
2,31,155,31-May,608.91,602.33,663.33
2,31,155,31-May,671.12,588.42,587.40
2,32,156,32-1,613.30,598.50,592.45
2,32,156,32-1,619.04,553.79,599.59
2,32,156,32-1,617.09,584.28,670.93
2,32,156,32-1,598.44,572.39,595.31
2,32,157,32-2,620.90,594.99,644.99
2,32,157,32-2,611.23,589.03,608.13
2,32,157,32-2,588.92,568.47,586.35
2,32,157,32-2,594.54,611.16,565.11
2,32,158,32-3,595.65,554.90,607.97
2,32,158,32-3,621.00,575.01,616.29
2,32,158,32-3,613.73,635.33,591.33
2,32,158,32-3,626.92,559.50,567.69
2,32,159,32-4,630.85,538.11,625.83
2,32,159,32-4,624.52,595.14,624.23
2,32,159,32-4,645.59,605.41,573.31
2,32,159,32-4,602.93,581.99,551.33
2,32,160,32-5,616.94,560.69,622.11
2,32,160,32-5,597.54,580.50,586.33
2,32,160,32-5,630.00,579.23,587.17
2,32,160,32-5,595.73,588.42,620.61
2,33,161,33-1,601.96,577.97,635.41
2,33,161,33-1,610.45,555.46,599.15
2,33,161,33-1,610.91,559.37,616.87
2,33,161,33-1,607.41,555.49,530.54
2,33,162,33-2,602.81,571.32,560.99
2,33,162,33-2,616.49,594.13,615.64
2,33,162,33-2,622.76,564.01,594.22
2,33,162,33-2,653.70,585.45,637.36
2,33,163,33-3,612.19,622.09,611.25
2,33,163,33-3,601.15,602.50,666.92
2,33,163,33-3,625.20,552.24,559.99
2,33,163,33-3,626.93,581.26,696.47
2,33,164,33-4,594.62,592.61,577.37
2,33,164,33-4,603.95,586.03,592.24
2,33,164,33-4,601.49,597.30,649.58
2,33,164,33-4,627.00,600.85,611.25
2,33,165,33-5,593.20,614.20,575.81
2,33,165,33-5,619.62,559.19,630.89
2,33,165,33-5,619.74,569.05,643.59
2,33,165,33-5,611.03,565.35,582.22
2,34,166,34-1,607.66,577.07,666.91
2,34,166,34-1,617.76,577.92,622.76
2,34,166,34-1,615.96,615.19,591.15
2,34,166,34-1,618.14,605.95,534.28
2,34,167,34-2,619.62,595.64,646.33
2,34,167,34-2,611.62,567.23,510.82
2,34,167,34-2,648.87,589.95,629.29
2,34,167,34-2,601.61,573.11,623.04
2,34,168,34-3,610.78,608.58,640.72
2,34,168,34-3,626.21,580.20,622.77
2,34,168,34-3,626.76,622.08,603.22
2,34,168,34-3,622.53,598.53,609.70
2,34,169,34-4,649.31,606.01,555.20
2,34,169,34-4,608.97,592.79,586.32
2,34,169,34-4,573.65,605.03,637.87
2,34,169,34-4,624.01,592.95,606.73
2,34,170,34-5,631.67,593.86,600.13
2,34,170,34-5,586.71,616.12,645.41
2,34,170,34-5,621.75,627.70,589.48
2,34,170,34-5,612.94,593.07,624.59
2,35,171,35-1,608.21,603.22,653.28
2,35,171,35-1,605.41,603.32,602.52
2,35,171,35-1,624.56,580.41,585.46
2,35,171,35-1,592.50,577.64,615.19
2,35,172,35-2,608.29,604.99,659.81
2,35,172,35-2,610.50,579.71,623.61
2,35,172,35-2,611.01,633.17,562.14
2,35,172,35-2,602.08,590.01,585.37
2,35,173,35-3,610.89,602.55,573.37
2,35,173,35-3,602.83,573.10,539.80
2,35,173,35-3,597.15,570.20,621.94
2,35,173,35-3,642.57,607.47,510.80
2,35,174,35-4,604.94,628.37,610.00
2,35,174,35-4,580.40,570.32,549.91
2,35,174,35-4,626.96,601.88,628.84
2,35,174,35-4,618.01,599.41,570.50
2,35,175,35-5,596.05,620.90,657.25
2,35,175,35-5,588.69,627.26,594.38
2,35,175,35-5,584.36,573.77,605.86
2,35,175,35-5,624.83,589.94,640.53
2,36,176,36-1,625.87,579.25,602.50
2,36,176,36-1,609.29,572.91,608.50
2,36,176,36-1,621.63,553.34,600.34
2,36,176,36-1,599.35,523.98,603.55
2,36,177,36-2,611.11,577.96,640.91
2,36,177,36-2,612.69,529.38,603.87
2,36,177,36-2,606.91,641.72,627.63
2,36,177,36-2,618.99,582.37,606.28
2,36,178,36-3,579.78,586.03,563.87
2,36,178,36-3,608.97,595.50,634.72
2,36,178,36-3,588.72,614.54,624.28
2,36,178,36-3,587.53,607.88,592.30
2,36,179,36-4,618.65,574.19,596.63
2,36,179,36-4,615.72,612.70,609.15
2,36,179,36-4,636.05,598.73,661.02
2,36,179,36-4,611.17,586.26,631.57
2,36,180,36-5,610.57,561.95,641.65
2,36,180,36-5,590.48,565.75,568.65
2,36,180,36-5,635.19,588.24,623.41
2,36,180,36-5,622.82,587.63,662.93
2,37,181,37-1,618.92,585.81,609.00
2,37,181,37-1,626.19,573.10,588.22
2,37,181,37-1,636.54,608.26,651.67
2,37,181,37-1,636.03,552.63,625.29
2,37,182,37-2,624.23,607.98,643.35
2,37,182,37-2,632.75,583.50,547.18
2,37,182,37-2,612.41,577.96,577.00
2,37,182,37-2,618.76,580.90,584.98
2,37,183,37-3,628.96,583.64,619.89
2,37,183,37-3,620.25,596.81,562.55
2,37,183,37-3,609.69,569.65,609.19
2,37,183,37-3,601.90,565.91,634.91
2,37,184,37-4,611.03,603.61,669.48
2,37,184,37-4,630.28,568.31,690.55
2,37,184,37-4,580.57,594.81,637.94
2,37,184,37-4,627.33,572.28,658.13
2,37,185,37-5,593.26,573.58,599.34
2,37,185,37-5,616.35,593.11,605.35
2,37,185,37-5,601.83,565.23,585.73
2,37,185,37-5,621.89,585.39,587.85
2,38,186,38-1,616.12,592.50,610.51
2,38,186,38-1,611.40,613.15,631.20
2,38,186,38-1,603.82,613.02,629.57
2,38,186,38-1,606.69,585.92,666.33
2,38,187,38-2,626.46,606.48,622.84
2,38,187,38-2,613.38,629.51,636.48
2,38,187,38-2,603.72,619.91,603.21
2,38,187,38-2,599.27,620.58,629.79
2,38,188,38-3,614.85,621.97,623.77
2,38,188,38-3,611.80,576.54,667.21
2,38,188,38-3,607.56,651.14,622.05
2,38,188,38-3,625.11,604.37,623.44
2,38,189,38-4,608.18,557.93,635.60
2,38,189,38-4,597.87,603.53,680.80
2,38,189,38-4,614.53,592.55,628.59
2,38,189,38-4,612.36,577.44,656.43
2,38,190,38-5,575.25,576.56,652.41
2,38,190,38-5,631.62,612.41,676.91
2,38,190,38-5,594.68,583.26,680.43
2,38,190,38-5,639.28,592.07,655.69
2,39,191,39-1,617.62,594.88,603.38
2,39,191,39-1,600.22,608.48,623.87
2,39,191,39-1,624.22,588.35,626.14
2,39,191,39-1,612.44,640.09,616.19
2,39,192,39-2,616.21,614.23,567.39
2,39,192,39-2,626.89,590.82,657.79
2,39,192,39-2,604.98,618.11,593.47
2,39,192,39-2,622.50,618.52,576.85
2,39,193,39-3,596.25,566.94,664.79
2,39,193,39-3,600.46,611.02,645.93
2,39,193,39-3,617.83,624.81,566.80
2,39,193,39-3,636.39,605.18,585.25
2,39,194,39-4,599.31,599.26,546.86
2,39,194,39-4,614.84,583.80,563.39
2,39,194,39-4,607.52,612.95,587.85
2,39,194,39-4,605.24,583.96,619.93
2,39,195,39-5,607.57,606.09,655.49
2,39,195,39-5,609.56,599.09,669.63
2,39,195,39-5,613.63,590.59,580.25
2,39,195,39-5,600.01,591.11,617.40
2,40,196,40-1,627.22,591.35,635.04
2,40,196,40-1,627.48,557.32,644.39
2,40,196,40-1,635.52,620.24,582.86
2,40,196,40-1,599.49,569.94,575.14
2,40,197,40-2,603.80,579.06,670.69
2,40,197,40-2,610.99,562.31,694.75
2,40,197,40-2,583.05,605.71,576.40
2,40,197,40-2,630.15,631.25,606.60
2,40,198,40-3,596.52,582.55,555.97
2,40,198,40-3,619.30,555.86,658.23
2,40,198,40-3,580.38,573.89,597.32
2,40,198,40-3,631.79,590.47,619.75
2,40,199,40-4,631.83,589.44,587.98
2,40,199,40-4,612.41,605.62,570.68
2,40,199,40-4,629.81,610.45,614.67
2,40,199,40-4,605.42,601.80,564.78
2,40,200,40-5,588.02,570.51,623.45
2,40,200,40-5,603.97,568.73,607.02
2,40,200,40-5,592.47,597.61,613.28
2,40,200,40-5,639.47,580.79,595.51
